;;;;;;;;Carrosserie;;;;;;;;;;;;;;;;;;;Moteur;;;;;;;;;;;;;;Transmission et contrôle;;;;Performances;;;;;;;;;Suspension et freins;;;
51601;Citroen;C4;2 génération;2011;2017;Hatchback;1.6 VTi MT (120 ch);Hayon;5;4329;1789;1498;2608;1522;1515;;;;;1205;;408;408;560;1765;;Essence;1598;120;à 6 000;160;Injection directe;Mitoyenne;4;;;;4;à 4 250;;Mécanique;Avant;;5;SP-95;193;8,8;6,2;10,8;de 680 à 1 280;EURO V;60;4,7;Disques ventilés;Disque;Indépendante, Rack Macpherson;Semi-réglable, Poutre de torsion
51604;Citroen;C4;2 génération;2011;2017;Hatchback;1.6i MT (109 ch);Hayon;5;4329;1789;1498;2608;1522;1515;;;;;1205;;408;408;525;1730;;Essence;1587;109;à 5 800;147;Distribué injection;Mitoyenne;4;;78,5;82;4;à 4 000;;Mécanique;Avant;10,7;5;SP-95;190;10;7,2;12,5;de 600 à 1 070;EURO V;60;5,6;Disques ventilés;Disque;Indépendante, Rack Macpherson, La barre stabilisatrice;Semi-réglable, ressort
16222;Citroen;C4;2 génération [restyling];2016;2018;Berline;1.6 HDi MT (114 ch);Berline;5;4644;1789;1518;2708;;;;;;;1357;176;440;440;438;1795;;Diesel;1560;114;à 3 600;270;Common Rail;Mitoyenne;4;Turbo;;;2;à 1 750;;Mécanique;Avant;;6;DT;187;5,9;4,8;11,4;de 1 020 à 1 430;;60;4,2;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, Amortisseurs, ressort, La barre stabilisatrice
16221;Citroen;C4;2 génération [restyling];2016;2018;Berline;1.6 THP AT (150 ch);Berline;5;4644;1789;1518;2708;;;;;;;1374;176;440;440;436;1810;;Essence;1598;150;à 6 000;240;Injection directe;Mitoyenne;4;Turbo;;;4;à 1 400;;Automatique;Avant;;6;SP-95;207;8,9;6,5;8,1;de 670 à 1 180;;60;5,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, Amortisseurs, ressort, La barre stabilisatrice
16217;Citroen;C4;2 génération [restyling];2016;2018;Berline;1.6 VTi AT (116 ch);Berline;5;4644;1789;1518;2708;;;;;;;1365;176;440;440;440;1805;;Essence;1587;116;à 6 050;150;Distribué injection;Mitoyenne;4;;;;4;à 4 000;;Automatique;Avant;;6;SP-95;188;8,8;6,6;12,5;de 680 à 1 130;;60;5,3;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, Amortisseurs, ressort, La barre stabilisatrice
16220;Citroen;C4;2 génération [restyling];2016;2018;Berline;1.6 VTi MT (116 ch);Berline;5;4621;1789;1496;2708;;;;;;;1330;;440;440;460;1790;;Essence;1587;116;à 6 050;150;Distribué injection;Mitoyenne;4;;;;4;à 4 000;;Mécanique;Avant;;5;SP-95;189;9,4;7,1;10,9;de 640 à 1 030;;60;5,8;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, ressort
2435;Citroen;C4 AirCross;1 génération;2012;2017;Crossover;1.6 HDi MT (114 ch);Crossover;5;4340;1800;1625;2670;1545;1540;;;;;1320;;442;416;;;3260;Diesel;1560;114;à 3 600;270;Injection directe;Mitoyenne;4;Turbo;;;4;de 1 750 à 2 500;;Mécanique;Avant;10,6;6;DT;182;5,3;4,6;10,8;de 1 130 à 1 430;EURO V;60;4,2;Disques ventilés;Disque;Rack Macpherson, La barre stabilisatrice;Multibras
2436;Citroen;C4 AirCross;1 génération;2012;2017;Crossover;1.6 HDi MT AWD (114 ch);Crossover;5;4340;1800;1625;2670;1545;1540;;;;;1425;;442;416;;;3260;Diesel;1560;114;à 3 600;270;Injection directe;Mitoyenne;4;Turbo;;;4;de 1 750 à 2 500;;Mécanique;Plein;10,6;6;DT;180;5,6;4,9;11,6;de 1 070 à 1 330;EURO V;60;4,5;Disques ventilés;Disque;Rack Macpherson, La barre stabilisatrice;Multibras
2434;Citroen;C4 AirCross;1 génération;2012;2017;Crossover;1.6 MT (117 ch);Crossover;5;4340;1800;1625;2670;1545;1540;;;;;1305;195;442;416;565;1870;3025;Essence;1590;117;à 6 000;154;Distribué injection;Mitoyenne;4;;;;4;à 4 000;;Mécanique;Avant;10,6;5;SP-95;182;7,5;5,9;11,3;de 840 à 1 290;EURO V;63;4,9;Disques ventilés;Disque;Rack Macpherson, La barre stabilisatrice;Multibras
2438;Citroen;C4 AirCross;1 génération;2012;2017;Crossover;1.8 HDi MT (150 ch);Crossover;5;4340;1800;1625;2670;1545;1540;;;;;1430;;442;416;630;2060;3530;Diesel;1798;150;à 4 000;300;Injection directe;Mitoyenne;4;Turbo;;;4;de 2 000 à 3 000;;Mécanique;Avant;10,6;6;DT;200;6,6;5,4;10,8;de 950 à 1 340;EURO V;63;4,7;Disques ventilés;Disque;Rack Macpherson, La barre stabilisatrice;Multibras
2437;Citroen;C4 AirCross;1 génération;2012;2017;Crossover;1.8 HDi MT AWD (150 ch);Crossover;5;4340;1800;1625;2670;1545;1540;;;;;1495;;442;416;490;2060;3530;Diesel;1798;150;à 4 000;300;Injection directe;Mitoyenne;4;Turbo;;;4;de 2 000 à 3 000;;Mécanique;Plein;10,6;6;DT;198;6,8;5,6;11,5;de 880 à 1 220;EURO V;60;4,9;Disques ventilés;Disque;Rack Macpherson, La barre stabilisatrice;Multibras
2439;Citroen;C4 AirCross;1 génération;2012;2017;Crossover;2.0 CVT (150 ch);Crossover;5;4340;1800;1625;2670;1545;1540;;;;;;195;442;416;;1870;;Essence;1998;150;à 6 000;198;Distribué injection;Mitoyenne;4;;;;4;à 4 250;;Variateur;Avant;10,6;;SP-95;190;10,2;7,9;8,5;de 620 à 970;EURO V;63;6,5;Disques ventilés;Disque;Rack Macpherson, La barre stabilisatrice;Multibras
2440;Citroen;C4 AirCross;1 génération;2012;2017;Crossover;2.0 CVT AWD (150 ch);Crossover;5;4340;1800;1625;2670;1545;1540;;;;;1470;195;442;416;;1870;;Essence;1998;150;à 6 000;198;Distribué injection;Mitoyenne;4;;;;4;à 4 250;;Variateur;Plein;10,6;;SP-95;188;10,5;8,1;10,9;de 600 à 930;EURO V;63;6,8;Disques ventilés;Disque;Rack Macpherson, La barre stabilisatrice;Multibras
2441;Citroen;C4 AirCross;1 génération;2012;2017;Crossover;2.0 MT (150 ch);Crossover;5;4340;1800;1625;2670;1545;1540;;;;;;195;442;416;;1870;;Essence;1998;150;à 6 000;198;Distribué injection;Mitoyenne;4;;;;4;à 4 250;;Mécanique;Avant;10,6;5;SP-95;200;10,1;7,7;9,3;de 620 à 1 000;EURO V;63;6,3;Disques ventilés;Disque;Rack Macpherson, La barre stabilisatrice;Multibras
2442;Citroen;C4 AirCross;1 génération;2012;2017;Crossover;2.0 MT AWD (150 ch);Crossover;5;4340;1800;1625;2670;1545;1540;;;;;1425;195;442;416;;1870;;Essence;1998;150;à 6 000;198;Distribué injection;Mitoyenne;4;;;;4;à 4 250;;Mécanique;Plein;10,6;5;SP-95;198;10,3;7,9;9,9;de 610 à 970;EURO V;63;6,5;Disques ventilés;Disque;Rack Macpherson, La barre stabilisatrice;Multibras
51613;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;1.6 HDi AMT (109 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1530;;1951;576;720;2250;;Diesel;1560;109;à 4 000;260;Common Rail;Mitoyenne;4;Turbo;75;88,3;4;à 1 750;Il ya;Le robot;Avant;11,85;5;DT;180;7,3;5,9;12,7;de 820 à 1 180;EURO IV;60;5,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
236905;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;1.6 HDi AMT (112 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1612;;1951;576;488;2100;;Diesel;1560;112;à 3 600;270;Common Rail;Mitoyenne;4;Turbo;75;88,3;4;à 1 750;Il ya;Le robot;Avant;11,85;6;DT;181;5,4;5;14,6;de 1 110 à 1 250;EURO V;60;4,8;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
30222;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;1.6 HDi MT (109 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1530;;1951;576;720;2250;;Diesel;1560;109;à 4 000;260;Common Rail;Mitoyenne;4;Turbo;75;88,3;4;à 1 750;Il ya;Mécanique;Avant;11,85;5;DT;180;7,3;5,9;12,7;de 820 à 1 180;EURO IV;60;5,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
30226;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;1.6 HDi MT (112 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1550;;1951;576;550;2100;;Diesel;1560;112;à 3 600;270;Common Rail;Mitoyenne;4;Turbo;75;88,3;4;à 1 750;Il ya;Mécanique;Avant;11,85;6;DT;181;6,5;5,3;14,2;de 920 à 1 300;EURO V;60;4,6;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
51611;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;1.6 MT (120 ch);Monospace;7;4590;1830;1680;2730;1550;1539;;;;;1486;130;1951;576;714;2200;3400;Essence;1598;120;à 6 000;160;Distribué injection;Mitoyenne;4;;;;4;à 4 250;;Mécanique;Avant;11,36;5;SP-95;185;10,1;7,5;12,4;de 590 à 1 000;;60;6;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
51612;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;1.6 THP AMT (150 ch);Monospace;7;4590;1830;1680;2728;1550;1539;;;;;1530;130;1951;576;690;2220;3420;Essence;1598;150;à 6 000;240;Injection directe;Mitoyenne;4;Turbo;;;4;à 1 400;Il ya;Le robot;Avant;11,36;6;SP-95;204;9,1;7;9,8;de 660 à 1 050;EURO IV;60;5,7;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, ressort
30224;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;1.6 THP AMT (155 ch);Monospace;7;4590;1830;1680;2730;1550;1539;;;;;1509;130;1951;576;726;2235;3440;Essence;1598;155;de 6 000;240;Injection directe;Mitoyenne;4;Turbo;;;4;de 1 400 à 4 000;;Le robot;Avant;11,36;6;SP-95;204;9,1;7;9,8;de 660 à 1 050;;60;5,7;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, ressort
30227;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;1.7 MT (125 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1510;;1951;576;690;2200;;Essence;1749;125;à 6 000;170;Distribué injection;Mitoyenne;4;;82,7;81,4;4;à 3 750;;Mécanique;Avant;11,85;5;SP-92;185;11,3;8;13,4;de 530 à 980;EURO IV;60;6,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
236910;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;2.0 AMT (140 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1560;;1951;576;680;2240;;Essence;1997;140;à 6 000;200;Distribué injection;Mitoyenne;4;;85;88;4;à 4 000;;Le robot;Avant;11,85;6;SP-92;195;11,1;8;12,6;de 540 à 970;EURO IV;60;6,2;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
30228;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;2.0 AMT (143 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;;;1951;576;;;;Essence;1997;143;à 6 000;200;Distribué injection;Mitoyenne;4;;85;88;4;à 4 000;;Le robot;Avant;11,85;6;SP-92;;;;;;EURO IV;60;;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
30230;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;2.0 AT (140 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1600;;1951;576;660;2260;;Essence;1997;140;à 6 000;200;Distribué injection;Mitoyenne;4;;85;88;4;à 4 000;;Automatique;Avant;11,85;4;SP-92;190;12,9;8,9;13,7;de 470 à 910;EURO IV;60;6,6;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
236908;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;2.0 HDi AMT (136 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1620;;1951;576;700;2320;;Diesel;1997;136;à 4 000;270;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Le robot;Avant;11,85;6;DT;195;7,9;6,1;12,5;de 760 à 1 180;EURO IV;60;5,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
236909;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;2.0 HDi AMT (150 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1690;;1951;576;630;2320;;Diesel;1997;150;à 3 750;340;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Le robot;Avant;11,85;6;DT;195;6,6;5,3;10,9;de 910 à 1 330;EURO IV;60;4,5;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
236906;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;2.0 HDi AT (136 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1650;;1951;576;700;2350;;Diesel;1997;136;à 4 000;270;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Automatique;Avant;11,85;6;DT;190;9,9;7,4;12,1;de 610 à 1 020;EURO IV;60;5,9;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
70456;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;2.0 HDi AT (163 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1728;;1951;576;597;2325;;Diesel;1997;163;à 3 750;340;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Automatique;Avant;11,85;6;DT;190;8,7;6,8;11,9;de 690 à 1 050;EURO IV;60;5,7;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
51615;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;2.0 HDi MT (136 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1640;;1951;576;510;2150;;Diesel;1997;136;à 4 000;270;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Mécanique;Avant;11,85;6;DT;195;8,1;6,2;12,9;de 740 à 1 180;EURO IV;60;5,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
236907;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;2.0 HDi MT (150 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1613;;1951;576;695;2308;;Diesel;1997;150;à 3 750;340;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Mécanique;Avant;11,85;6;DT;195;7,5;5,9;11;de 800 à 1 220;EURO IV;60;4,9;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
51614;Citroen;C4 Picasso;1 génération;2006;2013;Grand monospace 5-portes;2.0 MT (143 ch);Monospace;7;4585;1831;1624;2728;1504;1539;;;;;1510;;1951;576;;;;Essence;1997;143;à 6 000;200;Distribué injection;Mitoyenne;4;;85;88;4;à 4 000;;Mécanique;Avant;11,85;5;SP-92;195;11,1;8;11,5;de 540 à 970;EURO IV;60;6,2;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Semi-réglable, Amortisseurs, Ressorts hélicoïdaux
236976;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.6 HDi AMT (109 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1499;130;1734;500;561;2060;;Diesel;1560;109;à 4 000;260;Common Rail;Mitoyenne;4;Turbo;75;88,3;4;à 1 750;Il ya;Le robot;Avant;11,85;6;DT;180;6,8;5,7;13,2;de 880 à 1 180;EURO IV;60;5,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
236977;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.6 HDi AMT (112 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1606;130;1734;500;454;2060;;Diesel;1560;112;à 3 600;270;Common Rail;Mitoyenne;4;Turbo;75;88,3;4;à 1 750;Il ya;Le robot;Avant;11,85;6;DT;181;5,3;5;14,6;de 1 130 à 1 280;EURO V;60;4,7;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
184328;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.6 HDi MT (109 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1489;130;1734;500;561;2055;;Diesel;1560;109;à 4 000;260;Common Rail;Mitoyenne;4;Turbo;75;88,3;4;à 1 750;Il ya;Mécanique;Avant;11,85;5;DT;180;7,3;5,9;12,5;de 820 à 1 180;EURO IV;60;5,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
184329;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.6 HDi MT (112 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1550;130;1734;500;500;2050;;Diesel;1560;112;à 3 600;270;Common Rail;Mitoyenne;4;Turbo;75;88,3;4;à 1 750;Il ya;Mécanique;Avant;11,85;6;DT;181;6,2;5,2;14,2;de 970 à 1 300;EURO V;60;4,6;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
184319;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.6 MT (120 ch);Monospace;5;4470;1830;1680;2728;1539;1509;;;;;1458;;1734;1734;557;2015;3400;Essence;1598;120;à 6 000;160;Distribué injection;Mitoyenne;4;;;;4;à 4 250;;Mécanique;Avant;11,3;5;SP-95;186;10,1;7,5;12;de 590 à 1 000;;60;6;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
184327;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.6 THP AMT (150 ch);Monospace;5;4470;1830;1680;2728;1539;1509;;;;;1480;;1734;1734;575;2055;3440;Essence;1598;150;à 6 000;240;Injection directe;Mitoyenne;4;Turbo;;;4;de 1 400 à 4 000;Il ya;Le robot;Avant;11,3;6;SP-95;204;9,1;6,9;9,4;de 660 à 1 070;;60;5,6;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
184330;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.6 THP AMT (155 ch);Monospace;5;4470;1830;1680;2728;1539;1509;;;;;1480;;1734;1734;575;2055;3440;Essence;1598;155;de 6 000;240;Injection directe;Mitoyenne;4;Turbo;;;4;de 1 400 à 4 000;Il ya;Le robot;Avant;;6;SP-95;204;9,1;6,9;9;de 660 à 1 070;;60;5,6;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
184320;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.6 THP AT (140 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1539;130;1734;500;516;2055;;Essence;1598;140;à 5 800;240;Injection directe;Mitoyenne;4;Turbo;77;85,8;4;à 1 400;Il ya;Automatique;Avant;11,85;4;SP-92;192;11,9;8,5;11,5;de 500 à 920;EURO IV;60;6,5;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
236975;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.6 THP MT (140 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1539;130;1734;500;516;2055;;Essence;1598;140;à 5 800;240;Injection directe;Mitoyenne;4;Turbo;77;85,8;4;à 1 400;Il ya;Mécanique;Avant;11,85;5;SP-92;192;11,9;8,5;12,6;de 500 à 920;EURO IV;60;6,5;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
184321;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.6 THP MT (150 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1614;130;1734;500;441;2055;;Essence;1598;150;à 6 000;240;Injection directe;Mitoyenne;4;Turbo;77;85,8;4;de 1 400 à 4 000;Il ya;Mécanique;Avant;11,85;5;SP-92;192;11,9;8,5;12,6;de 500 à 920;EURO IV;60;6,5;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
184322;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;1.7 MT (125 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1470;130;1734;500;530;2000;;Essence;1749;125;à 6 000;170;Distribué injection;Mitoyenne;4;;82,7;81,4;4;à 3 750;;Mécanique;Avant;11,85;5;SP-92;185;11,3;8;12,7;de 530 à 980;EURO IV;60;6,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
184324;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;2.0 AMT (143 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1511;130;1734;500;529;2040;;Essence;1997;143;à 6 000;200;Distribué injection;Mitoyenne;4;;85;88;4;à 4 000;;Le robot;Avant;11,85;6;SP-92;195;11,1;8;12,1;de 540 à 970;EURO IV;60;6,2;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
184326;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;2.0 AT (143 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1552;130;1734;500;538;2090;;Essence;1997;143;à 6 000;200;Distribué injection;Mitoyenne;4;;85;88;4;à 4 000;;Automatique;Avant;11,85;4;SP-92;190;12,9;8,9;13,1;de 470 à 910;EURO IV;60;6,6;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
236979;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;2.0 HDi AMT (136 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1581;130;1734;500;559;2150;;Diesel;1997;136;à 4 000;270;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Le robot;Avant;11,85;6;DT;195;7,9;6,1;12,4;de 760 à 1 180;EURO IV;60;5,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
236980;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;2.0 HDi AMT (150 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1660;130;1734;500;480;2140;;Diesel;1997;150;à 3 750;340;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Le robot;Avant;11,85;6;DT;195;6,6;5,3;10,9;de 910 à 1 330;EURO IV;60;4,5;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
184331;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;2.0 HDi AT (136 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1640;130;1734;500;510;2150;;Diesel;1997;136;à 4 000;270;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Automatique;Avant;11,85;6;DT;190;9,9;7,4;12,1;de 610 à 1 020;EURO IV;60;5,9;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
184323;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;2.0 HDi AT (163 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1614;130;1734;500;536;2150;;Diesel;1997;163;à 3 750;340;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Automatique;Avant;11,85;6;DT;190;8,7;6,8;11,5;de 690 à 1 050;EURO IV;60;5,7;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
184332;Citroen;C4 Picasso;1 génération;2006;2013;Minivan 5-portes;2.0 HDi MT (136 ch);Monospace;5;4468;1831;1610;2728;1504;1539;;;;;1640;130;1734;500;510;2150;;Diesel;1997;136;à 4 000;270;Common Rail;Mitoyenne;4;Turbo;85;88;4;à 2 000;Il ya;Mécanique;Avant;11,85;6;DT;195;8,1;6,2;12,4;de 740 à 1 180;EURO IV;60;5,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, Ressorts hélicoïdaux, La barre stabilisatrice;Indépendante, Multibras, Amortisseurs, Ressorts hélicoïdaux
